Artist,Total Views,Total Subscribers,Avg
Atif Aslam,"3,782.2",900000000.0,1.01
Panic! at the Disco,"3,777.9",600000000.0,0.48
Céline Dion,"3,749.3",1000000000.0,1.56
21 Savage,"3,741.6",800000000.0,1.1
El Alfa,"3,740.9",700000000.0,1.62
Kendrick Lamar,"3,728.1",1200000000.0,0.85
Iggy Azalea,"3,726.6",900000000.0,0.34
Alejandro Fernández,"3,719.5",600000000.0,1.12
TINI,"3,715.3",1300000000.0,2.17
J.Fla,"3,701.8",600000000.0,0.35
La Adictiva Banda San José de Mesillas,"3,687.4",700000000.0,1.28
System of a Down,"3,680.4",800000000.0,1.07
Bryan Adams,"3,668.6",1000000000.0,1.29
Slipknot,"3,656.3",1000000000.0,1.06
Kurt Hugo Schneider,"3,635.2",400000000.0,0.22
Lil Uzi Vert,"3,634.5",800000000.0,1.27
Nour Al Zain,"3,625.1",800000000.0,0.59
Melendi,"3,609.1",400000000.0,1.15
Mon Laferte,"3,606.4",800000000.0,1.4
DaBaby,"3,592.0",700000000.0,0.76
Nickelback,"3,578.9",1100000000.0,0.76
Carlos Rivera,"3,571.3",1100000000.0,1.22
Nelly,"3,570.3",700000000.0,1.16
Chayanne,"3,555.5",1100000000.0,0.88
Yandel,"3,544.3",700000000.0,1.45
Christina Aguilera,"3,523.3",1000000000.0,0.77
Dalex,"3,521.8",800000000.0,1.14
Lil Durk,"3,520.8",300000000.0,1.98
Lindsey Stirling,"3,509.3",800000000.0,0.57
Cali y El Dandee,"3,504.6",700000000.0,0.72
Ariel Camacho y Los Plebes Del Rancho,"3,502.8",800000000.0,0.58
Jonas Blue,"3,495.9",700000000.0,0.63
Yuridia,"3,482.0",700000000.0,4.55
Santa Fe Klan,"3,459.6",600000000.0,2.64
Arctic Monkeys,"3,433.4",600000000.0,1.03
Bruno e Marrone,"3,431.9",500000000.0,1.09
Violetta,"3,428.5",400000000.0,0.26
Young Thug,"3,425.0",800000000.0,0.93
John Legend,"3,419.4",400000000.0,0.52
Bebe Rexha,"3,400.2",500000000.0,0.55
Banda Los Recoditos,"3,399.6",1100000000.0,0.59
Tiësto,"3,393.0",800000000.0,1.32
Melanie Martinez,"3,386.7",1100000000.0,0.72
Christina Perri,"3,366.4",300000000.0,0.55
MC Livinho,"3,359.5",1000000000.0,0.26
Ludmilla,"3,322.0",800000000.0,2.13
Meek Mill,"3,301.2",600000000.0,0.79
Little Big,"3,288.3",800000000.0,1.18
Marco Antonio Solís,"3,277.0",1200000000.0,1.15
Pulcino Pio,"3,270.1",600000000.0,0.47
C-Kan,"3,269.3",700000000.0,0.71
Danny Ocean,"3,264.3",500000000.0,0.92
Seventeen,"3,260.1",300000000.0,2.31
Jhay Cortez,"3,259.3",300000000.0,1.12
Pharrell Williams,"3,258.5",600000000.0,0.58
Evanescence,"3,257.0",600000000.0,0.84
GOT7,"3,241.3",800000000.0,0.29
Green Day,"3,219.4",700000000.0,0.78
Cosculluela,"3,189.6",500000000.0,0.95
Alejandro Sanz,"3,183.5",500000000.0,0.68
Emiway Bantai,"3,168.8",700000000.0,0.97
Pedro Capó,"3,161.3",200000000.0,0.61
Zedd,"3,160.8",1000000000.0,0.46
Stromae,"3,151.2",600000000.0,1.0
Lil Peep,"3,142.8",800000000.0,0.92
LP,"3,122.7",600000000.0,1.18
Vishal Dadlani,"3,122.2",900000000.0,0.72
Alicia Keys,"3,101.6",600000000.0,0.74
Luis Miguel,"3,089.7",800000000.0,1.24
Gucci Mane,"3,047.3",300000000.0,0.69
Abba,"3,045.9",700000000.0,1.32
Khea,"3,010.0",1000000000.0,0.57
Gerardo Ortiz,"2,993.7",900000000.0,0.56
Ciara,"2,980.9",1000000000.0,0.6
James Arthur,"2,980.5",400000000.0,0.86
Naiara Azevedo,"2,973.6",800000000.0,0.37
Gustavo Mioto,"2,969.6",700000000.0,1.3
Tribo da Periferia,"2,968.8",600000000.0,1.1
Armin van Buuren,"2,967.4",400000000.0,0.68
Río Roma,"2,956.2",800000000.0,0.77
Harrdy Sandhu,"2,945.2",700000000.0,0.67
Brytiago,"2,945.0",700000000.0,0.66
Alex Rose,"2,917.0",600000000.0,1.06
Red Velvet,"2,916.9",1200000000.0,0.58
Jay Chou,"2,915.2",400000000.0,0.77
Paramore,"2,911.0",1000000000.0,0.59
Camila,"2,903.8",900000000.0,0.54
French Montana,"2,902.3",300000000.0,0.62
Soolking,"2,899.9",700000000.0,1.2
The Beatles,"2,893.8",900000000.0,0.96
Aviões do Forró,"2,882.5",600000000.0,0.77
Bryant Myers,"2,878.9",1000000000.0,1.25
Bee Gees,"2,854.4",600000000.0,1.33
Ne-Yo,"2,842.2",1000000000.0,0.73
La Oreja de Van Gogh,"2,833.9",500000000.0,1.13
Calle 13,"2,830.0",900000000.0,0.53
Mac Miller,"2,813.7",500000000.0,0.68
Gente De Zona,"2,800.3",400000000.0,0.49
Dr. Dre,"2,799.2",500000000.0,0.94
Udit Narayan,"2,798.2",800000000.0,0.75
La Arrolladora Banda El Limón De René Camacho,"2,784.5",700000000.0,0.81
Five Finger Death Punch,"2,784.1",900000000.0,0.82
Greeicy,"2,775.4",800000000.0,0.84
Kratai Phannipha,"2,770.2",600000000.0,0.37
Aerosmith,"2,761.6",500000000.0,0.87
Zoé,"2,756.3",600000000.0,0.81
MAGIC!,"2,746.5",200000000.0,0.42
Soprano,"2,736.2",1000000000.0,0.43
Zara Larsson,"2,729.6",400000000.0,0.3
Modern Talking,"2,723.0",700000000.0,1.1
La Trakalosa de Monterrey,"2,721.1",700000000.0,0.42
Aya Nakamura,"2,715.2",500000000.0,0.8
Gabriela Rocha,"2,703.2",400000000.0,0.96
Childish Gambino,"2,699.8",600000000.0,0.69
Labanoon,"2,698.7",600000000.0,0.28
L'Algérino,"2,694.4",800000000.0,0.29
Dilsinho,"2,687.0",400000000.0,0.68
Feid,"2,669.1",800000000.0,6.68
The Cranberries,"2,667.0",500000000.0,0.86
Son Tung M-TP,"2,660.6",1100000000.0,0.61
Dimitri Vegas & Like Mike,"2,637.1",300000000.0,0.29
T.I.,"2,632.1",600000000.0,0.43
Ankush Raja,"2,625.1",600000000.0,1.23
Fetty Wap,"2,615.4",700000000.0,0.33
The Lonely Island,"2,603.5",900000000.0,0.17
A$AP Rocky,"2,599.5",400000000.0,0.7
Daft Punk,"2,587.0",500000000.0,0.73
MCs Zaac & Jerry,"2,585.8",800000000.0,0.23
Amr Diab,"2,584.4",300000000.0,0.41
will.i.am,"2,582.0",600000000.0,0.3
Jesús Adrián Romero,"2,577.0",700000000.0,0.87
Fall Out Boy,"2,572.4",600000000.0,0.42
Zé Felipe,"2,553.0",800000000.0,2.4
Robin Schulz,"2,552.6",600000000.0,0.58
Oasis,"2,538.5",700000000.0,0.6
Franco De Vita,"2,537.4",800000000.0,0.64
5 Seconds of Summer,"2,537.0",500000000.0,0.38
YNW Melly,"2,534.2",500000000.0,0.61
Swedish House Mafia,"2,525.6",500000000.0,0.46
Luke Combs,"2,522.2",600000000.0,1.08
Westlife,"2,515.0",600000000.0,0.84
Anne-Marie,"2,514.7",600000000.0,0.93
Ferrugem,"2,511.5",600000000.0,0.79
Jon Z,"2,505.3",500000000.0,0.97
Gloria Trevi,"2,501.3",500000000.0,0.64
Mustafa Ceceli,"2,495.0",700000000.0,0.7
Mamamoo,"2,494.4",400000000.0,0.62
Turma do Pagode,"2,482.8",600000000.0,0.65
Ava Max,"2,479.7",500000000.0,1.31
David Bisbal,"2,450.6",600000000.0,0.47
R. Kelly,"2,449.0",600000000.0,0.11
Felipe Araújo,"2,433.9",600000000.0,0.58
Jay Wheeler,"2,433.5",400000000.0,1.33
Tarkan,"2,430.8",400000000.0,0.68
The Pussycat Dolls,"2,429.5",800000000.0,0.7
Dhvani Bhanushali,"2,403.5",200000000.0,0.57
Polo G,"2,402.3",500000000.0,0.87
Foo Fighters,"2,397.0",600000000.0,0.53
Calum Scott,"2,396.7",400000000.0,0.7
Lukas Graham,"2,395.4",400000000.0,0.44
Trey Songz,"2,390.5",400000000.0,0.33
Miyagi,"2,384.7",400000000.0,1.49
Mau y Ricky,"2,375.8",300000000.0,0.8
Kelly Clarkson,"2,374.7",400000000.0,0.45
Selena,"2,362.7",700000000.0,0.97
Koray Avcı,"2,353.9",700000000.0,0.25
Gera MX,"2,349.8",300000000.0,1.06
Carla Morrison,"2,333.7",500000000.0,0.9
George Michael,"2,330.8",500000000.0,1.04
Sean Kingston,"2,327.0",400000000.0,0.72
Muse,"2,326.4",600000000.0,0.46
Luke Bryan,"2,321.2",700000000.0,0.35
Leningrad,"2,309.3",600000000.0,0.33
Super Junior,"2,295.4",700000000.0,0.37
De La Ghetto,"2,271.5",300000000.0,0.47
YG,"2,265.6",600000000.0,0.36
Roddy Ricch,"2,262.9",600000000.0,0.66
Avenged Sevenfold,"2,262.8",700000000.0,0.56
Carly Rae Jepsen,"2,255.9",200000000.0,0.31
Elton John,"2,250.2",600000000.0,1.4
iKON,"2,247.1",300000000.0,0.32
Alka Yagnik,"2,241.6",600000000.0,0.7
J. Cole,"2,241.4",600000000.0,0.78
Snoop Dogg,"2,233.7",700000000.0,0.54
Rita Ora,"2,229.9",400000000.0,0.29
Disturbed,"2,216.7",300000000.0,0.64
Desiigner,"2,215.5",400000000.0,0.27
Tones and I,"2,212.6",100000000.0,0.48
Gotye,"2,205.0",100000000.0,0.6
Zé Vaqueiro,"2,203.1",700000000.0,0.99
a-ha,"2,202.9",100000000.0,0.75
Diego & Victor Hugo,"2,200.2",700000000.0,0.64
A Boogie wit da Hoodie,"2,191.1",300000000.0,0.67
Logic,"2,184.2",300000000.0,0.19
Juanes,"2,177.1",800000000.0,0.56
Projota,"2,175.8",500000000.0,0.27
Kendji Girac,"2,175.6",800000000.0,0.47
2NE1,"2,166.1",200000000.0,0.24
Piccolo Coro dell'Antoniano,"2,154.6",300000000.0,0.68
Lunay,"2,144.2",600000000.0,0.45
Lil Dicky,"2,138.0",400000000.0,0.26
Rod Stewart,"2,136.7",400000000.0,1.11
Rag'n'Bone Man,"2,131.8",200000000.0,0.68
U2,"2,130.8",500000000.0,0.71
Megan Thee Stallion,"2,129.4",800000000.0,0.6
Hassan Shakosh,"2,121.7",500000000.0,0.35
Tove Lo,"2,116.0",300000000.0,0.47
K-ICM,"2,115.8",500000000.0,0.15
MC Pedrinho,"2,114.4",700000000.0,0.21
Sorriso Maroto,"2,095.7",400000000.0,0.64
The Script,"2,091.4",500000000.0,0.36
Danna Paola,"2,090.3",400000000.0,0.58
Mike Posner,"2,080.0",200000000.0,0.33
Ke$ha,"2,078.3",600000000.0,0.24
Silentó,"2,059.3",100000000.0,0.13
MC Fioti,"2,058.8",100000000.0,0.22
Himesh Reshammiya,"2,052.2",300000000.0,1.31
Amy Winehouse,"2,049.1",400000000.0,0.68
MC Kekel,"2,048.2",600000000.0,0.1
ITZY,"2,035.1",700000000.0,1.01
Tory Lanez,"2,033.1",200000000.0,0.55
Shreya Ghoshal,"2,032.5",500000000.0,0.67
Michel Teló,"2,028.0",200000000.0,0.26
Kane Brown,"2,027.9",300000000.0,0.57
Capital Bra,"2,015.6",200000000.0,0.29
Tierry,"2,015.5",300000000.0,0.85
Zack Knight,"2,014.3",300000000.0,0.54
Andrea Bocelli,"2,013.5",400000000.0,0.69
Nelly Furtado,"2,011.5",400000000.0,0.66
Pabllo Vittar,"1,999.1",500000000.0,0.25
Andra,"1,998.5",400000000.0,0.2
MC Davo,"1,996.0",500000000.0,0.57
Olivia Rodrigo,"1,995.7",500000000.0,0.97
Joey Montana,"1,989.9",200000000.0,0.17
Lorde,"1,989.8",400000000.0,0.2
Eduardo Costa,"1,985.2",400000000.0,0.54
AKB48,"1,984.4",200000000.0,0.2
Skillet,"1,983.4",400000000.0,0.55
Indila,"1,982.0",400000000.0,0.88
Darshan Raval,"1,973.4",400000000.0,0.54
Lucas Lucco,"1,972.6",700000000.0,0.39
YOUNGOHM,"1,969.0",700000000.0,0.77
The Killers,"1,962.1",600000000.0,0.39
blink-182,"1,962.0",500000000.0,0.45
Big Sean,"1,959.9",500000000.0,0.16
Lartiste,"1,954.5",300000000.0,0.26
Cocktail,"1,947.4",700000000.0,0.38
JoJo Siwa,"1,941.6",400000000.0,0.21
Jason Mraz,"1,934.7",500000000.0,0.34
Jessi Uribe,"1,932.0",500000000.0,1.0
Kid Ink,"1,930.9",300000000.0,0.21
Cyndi Lauper,"1,930.7",300000000.0,0.54
Timati,"1,928.6",200000000.0,0.54
Hala Al Turk,"1,923.4",600000000.0,0.24
Laura Pausini,"1,922.2",200000000.0,0.41
Shania Twain,"1,919.2",600000000.0,0.69
Luciano Pereyra,"1,912.0",300000000.0,0.57
Michael Bublé,"1,909.6",500000000.0,0.32
Timbaland,"1,904.9",600000000.0,0.7
Fergie,"1,899.0",600000000.0,0.4
Juan Magan,"1,898.2",500000000.0,0.24
Mohamed Alsalim,"1,897.8",300000000.0,0.54
Banda El Recodo De Cruz Lizárraga,"1,895.6",500000000.0,0.38
Natalia Lafourcade,"1,893.9",500000000.0,0.79
Depeche Mode,"1,890.8",400000000.0,0.63
Balti,"1,890.4",300000000.0,0.65
Imran Khan,"1,888.6",400000000.0,0.89
Alvaro Soler,"1,886.6",400000000.0,0.31
Lewis Capaldi,"1,880.3",400000000.0,1.0
Sabyan,"1,878.8",600000000.0,0.15
Alemán,"1,875.1",300000000.0,1.05
Sin Bandera,"1,866.7",600000000.0,0.5
B Praak,"1,863.1",300000000.0,0.23
Remmy Valenzuela,"1,862.4",600000000.0,0.44
Ceca,"1,861.6",,0.35
MC Kevin,"1,853.6",400000000.0,0.62
OMI,"1,853.5",300000000.0,0.28
Florida Georgia Line,"1,852.1",500000000.0,0.21
Canserbero,"1,851.4",400000000.0,1.0
Hozier,"1,840.0",200000000.0,0.55
Lil Tjay,"1,835.7",300000000.0,0.72
Ricardo Montaner,"1,829.6",300000000.0,0.46
Radiohead,"1,828.1",200000000.0,0.79
Cristiano Araújo,"1,826.9",600000000.0,0.21
Galantis,"1,825.8",400000000.0,0.17
Niska,"1,825.0",400000000.0,0.43
Paula Fernandes,"1,822.8",300000000.0,0.44
Jason Aldean,"1,819.9",300000000.0,0.47
Palak Muchhal,"1,811.4",300000000.0,0.47
Chris Jeday,"1,803.9",300000000.0,0.69
Roxette,"1,801.6",300000000.0,0.52
Black M,"1,798.1",600000000.0,0.15
(G)I-DLE,"1,797.7",700000000.0,1.66
IU,"1,792.6",600000000.0,0.39
Arash,"1,790.6",400000000.0,0.57
Via Vallen,"1,787.5",300000000.0,0.08
Hailee Steinfeld,"1,782.2",600000000.0,0.26
Three Days Grace,"1,780.4",400000000.0,0.42
Soulja Boy Tell'em,"1,780.1",200000000.0,0.2
PNL,"1,775.6",600000000.0,0.34
Alok,"1,773.2",200000000.0,0.64
Maria Becerra,"1,766.2",600000000.0,2.35
The Game,"1,764.7",500000000.0,0.38
Abraham Mateo,"1,760.9",300000000.0,0.41
Bryson Tiller,"1,760.7",400000000.0,0.46
Blake Shelton,"1,760.6",300000000.0,0.33
AronChupa,"1,758.0",300000000.0,0.23
Eros Ramazzotti,"1,757.6",400000000.0,0.63
James Blunt,"1,757.1",200000000.0,0.43
Naughty Boy,"1,751.2",200000000.0,0.21
Marcos & Belutti,"1,745.3",400000000.0,0.26
SHINee,"1,735.6",200000000.0,0.27
R.E.M.,"1,734.9",200000000.0,0.57
2 Chainz,"1,728.7",500000000.0,0.28
Vremya i Steklo,"1,721.8",500000000.0,0.14
Lata Mangeshkar,"1,720.7",600000000.0,0.45
İrem Derici,"1,717.3",300000000.0,0.32
Scorpions,"1,715.3",200000000.0,0.44
Raymix,"1,712.5",300000000.0,0.38
ONE OK ROCK,"1,711.7",300000000.0,0.38
Zouhair Bahaoui,"1,705.7",300000000.0,0.49
Raí Saia Rodada,"1,702.9",400000000.0,0.48
Rick Astley,"1,697.5",200000000.0,0.5
My Chemical Romance,"1,689.8",700000000.0,0.51
Rick Ross,"1,687.2",300000000.0,0.34
B.o.B,"1,687.1",200000000.0,0.3
Korn,"1,686.0",300000000.0,0.49
Lil Skies,"1,683.5",400000000.0,0.18
El Komander,"1,679.2",300000000.0,0.26
Naps,"1,671.7",500000000.0,0.47
Nella Kharisma,"1,671.3",500000000.0,0.14
Shaggy,"1,663.3",600000000.0,0.42
Noriel,"1,661.3",300000000.0,0.4
Bruce Springsteen,"1,653.9",300000000.0,0.63
"Earth, Wind & Fire","1,649.2",300000000.0,0.56
Foster The People,"1,645.9",300000000.0,0.37
3 Doors Down,"1,641.7",300000000.0,0.4
